Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)]
0.85125,13.5017,25.415
0.85125,13.5017,25.415
0.85125,13.5017,25.415
0.8525,13.5017,25.415
0.85375,13.5999,25.415
0.855,13.5999,25.415
0.85625,13.5999,25.415
0.8575,13.5999,25.415
0.85875,13.5999,25.415
0.86,13.5999,25.415
0.86125,13.5999,25.415
0.8625,13.5999,25.415
0.86375,13.5999,25.415
0.865,13.5999,25.415
0.86625,14.1893,25.415
0.8675,14.1893,25.415
0.86875,13.6981,25.415
0.87,13.6981,25.415
0.87125,13.6981,25.415
0.8725,13.6981,25.415
0.87375,13.7964,25.415
0.875,13.7964,25.415
0.87625,13.6981,25.415
0.8775,13.6981,25.415
0.87875,13.5999,25.415
0.88,13.5999,25.415
0.88125,13.5999,25.415
0.8825,13.5999,25.415
0.88375,13.5999,25.415
0.885,13.5999,25.415
0.88625,13.5017,25.415
0.8875,13.5017,25.415
0.88875,13.5017,25.415
0.89,13.5017,25.415
0.89125,13.5017,25.415
0.8925,13.5017,25.415
0.89375,13.5017,25.415
0.895,13.5017,30.4517
0.89625,13.5017,30.4517
0.8975,13.5017,30.4517
0.89875,13.5017,30.4517
0.9,13.5017,30.4517
0.90125,13.5017,30.4517
0.90125,13.5017,30.4517
0.90125,13.5017,30.4517
0.9025,13.5017,30.4517
0.90375,13.4034,30.4517
0.905,13.4034,30.4517
0.90625,13.5017,30.4517
0.9075,13.5017,30.4517
0.90875,13.4034,30.4517
0.91,13.4034,30.4517
0.91125,13.3052,30.4517
0.9125,13.3052,30.4517
0.91375,13.3052,30.4517
0.915,13.3052,30.4517
0.91625,13.4034,30.4517
0.9175,13.4034,30.4517
0.91875,13.4034,30.4517
0.92,13.4034,30.4517
0.92125,13.4034,30.4517
0.9225,13.4034,30.4517
0.92375,13.4034,30.4517
0.925,13.4034,30.4517
0.92625,13.3052,30.4517
0.9275,13.3052,30.4517
0.92875,13.3052,30.4517
0.93,13.3052,30.4517
0.93125,13.3052,30.4517
0.9325,13.3052,30.4517
0.93375,13.3052,30.4517
0.935,13.3052,30.4517
0.93625,13.207,30.4517
0.9375,13.207,30.4517
0.93875,13.207,30.4517
0.94,13.207,30.4517
0.94125,13.1088,30.4517
0.9425,13.1088,30.4517
0.94375,13.1088,30.4517
0.945,13.1088,36.7451
0.94625,13.1088,36.7451
0.9475,13.1088,36.7451
0.94875,13.1088,36.7451
0.95,13.1088,36.7451
0.95125,13.0105,36.7451
0.95125,13.0105,36.7451
0.95125,13.0105,36.7451
0.9525,13.0105,36.7451
0.95375,13.1088,36.7451
0.955,13.1088,36.7451
0.95625,13.1088,36.7451
0.9575,13.1088,36.7451
0.95875,13.1088,36.7451
0.96,13.1088,36.7451
0.96125,13.0105,36.7451
0.9625,13.0105,36.7451
0.96375,13.0105,36.7451
0.965,13.0105,36.7451
0.96625,13.0105,36.7451
0.9675,13.0105,36.7451
0.96875,12.9123,36.7451
0.97,12.9123,36.7451
